trip_id;duration_in_seconds;start_time;end_time;starting_station_id;starting_station_latitude;starting_station_longitude;ending_station_id;ending_station_latitude;ending_station_longitude;bike_id;trip_route_category;passholder_type;kilometers_travelled;battery_level_at_start;battery_level_at_the_end;maximum_speed;minimum_speed;average_speed;new_user;damaged_bike;zip_codes;subscription_plan_duration
18772045;60600;27/01/2017 19:15;28/01/2017 12:05;3069;0;0;3000;34.042061;-118.263382;6213;One Way;Monthly Pass;92;70;57;985;163;641;True;True;0;30
21369192;1380;05/03/2017 18:35;05/03/2017 18:58;3078;34.049198;-118.252831;3000;0;0;6373;One Way;Walk-up;2709;47;78;1455;458;693;True;True;0;30
22579585;1860;19/03/2017 12:24;19/03/2017 12:55;3014;34.052898;-118.241562;3000;0;0;6641;One Way;Walk-up;1811;89;47;1455;88;936;True;True;22728;
23348765;64740;27/03/2017 17:26;28/03/2017 11:25;3040;34.05661;-118.237213;3000;0;0;6048;One Way;Walk-up;775;62;88;1256;132;777;True;True;0;365
19350050;51660;04/02/2017 3:15;04/02/2017 17:36;3049;34.05088;-118.248253;3000;0;0;6547;One Way;Monthly Pass;1085;49;87;615;61;683;False;False;0;30
18324185;900;21/01/2017 11:25;21/01/2017 11:40;3037;34.064281;-118.238937;3000;0;0;6635;One Way;Flex Pass;636;78;60;565;159;883;True;True;0;0
22219074;11580;15/03/2017 13:41;15/03/2017 16:54;3068;34.05661;-118.237213;3000;0;0;6299;One Way;Walk-up;13;70;6;635;312;526;False;True;0;0
21653845;1080;09/03/2017 7:36;09/03/2017 7:54;3052;34.05357;-118.266357;3000;0;0;6515;One Way;Monthly Pass;2245;23;92;807;368;52;False;True;0;0
17891894;10980;14/01/2017 11:28;14/01/2017 14:31;3007;34.056969;-118.253593;3000;0;0;6401;One Way;Walk-up;228;15;24;78;107;791;True;False;0;30
17848847;480;13/01/2017 21:32;13/01/2017 21:40;3082;34.034801;-118.231277;3036;0;0;6474;One Way;Walk-up;338;46;5;1421;489;524;False;False;0;365
20700706;540;24/02/2017 23:13;24/02/2017 23:22;3029;34.0532;-118.250954;3082;0;0;5794;One Way;Monthly Pass;1746;79;18;122;498;746;False;False;0;0
20595730;840;23/02/2017 7:34;23/02/2017 7:48;3022;34.051102;-118.264557;3005;0;0;6604;One Way;Monthly Pass;352;27;34;893;164;703;True;True;0;
17307719;420;05/01/2017 12:04;05/01/2017 12:11;3059;34.05048;-118.254593;3038;0;0;6035;One Way;Monthly Pass;159;70;48;1052;324;717;True;True;0;0
21043356;720;01/03/2017 12:56;01/03/2017 13:08;3082;34.04652;-118.237411;3000;34.039188;-118.232529;6660;One Way;Monthly Pass;2931;21;86;133;48;612;True;False;0;0
23259758;76860;26/03/2017 14:37;27/03/2017 11:58;3063;34.048851;-118.246422;3000;34.04652;-118.237411;5969;One Way;Walk-up;1171;22;41;1078;247;983;False;False;0;30
18941656;840;30/01/2017 20:19;30/01/2017 20:33;3035;34.04607;-118.233093;3040;34.04855;-118.259048;6728;One Way;Walk-up;2815;96;25;871;426;70;False;False;0;30
15177219;13920;05/12/2016 10:43;05/12/2016 14:35;3008;34.037949;-118.256271;3000;34.046822;-118.248352;6180;One Way;Walk-up;552;90;30;1047;246;568;False;True;0;30
18023215;300;16/01/2017 18:14;16/01/2017 18:19;3067;34.04652;-118.237411;3064;0;0;6236;One Way;Walk-up;270;92;44;1159;138;555;True;True;0;30
18980820;86400;29/01/2017 15:51;31/01/2017 8:57;3067;34.049198;-118.252831;3000;0;0;6238;One Way;Walk-up;281;59;97;1355;375;877;True;False;0;0
12227457;14580;03/11/2016 17:21;03/11/2016 21:24;3027;34.048401;-118.260948;3000;34.05357;-118.266357;6308;One Way;Flex Pass;2918;27;13;516;99;60;True;False;0;0
21926434;540;12/03/2017 12:37;12/03/2017 12:46;3076;34.046612;-118.262733;3063;0;0;6170;One Way;Monthly Pass;956;21;84;1453;46;534;True;False;23078;0
21684654;1260;09/03/2017 17:27;09/03/2017 17:48;3025;34.045181;-118.250237;3077;34.04681;-118.256981;6417;One Way;Walk-up;1442;30;66;1016;469;837;True;True;0;0
23379763;11040;28/03/2017 16:27;28/03/2017 19:31;3062;34.045181;-118.250237;3000;0;0;6427;One Way;Monthly Pass;2686;49;83;569;273;71;True;False;0;0
23355994;720;28/03/2017 13:47;28/03/2017 13:59;3030;34.04998;-118.247162;3019;0;0;6569;One Way;Walk-up;1469;55;82;796;368;689;False;True;23074;365
16726207;1320;25/12/2016 17:15;25/12/2016 17:37;3078;34.0406;-118.253838;3000;34.049198;-118.252831;6275;One Way;Walk-up;1359;18;12;884;22;555;False;True;0;30
21435123;420;06/03/2017 14:31;06/03/2017 14:38;3048;34.03286;-118.268082;3058;34.039871;-118.250038;6568;One Way;Monthly Pass;55;22;69;953;186;786;False;False;0;0
22478874;600;18/03/2017 10:47;18/03/2017 10:57;3038;34.047749;-118.243172;3023;0;0;5907;One Way;Walk-up;1528;21;78;1204;202;855;True;False;0;30
13913164;11160;19/11/2016 15:39;19/11/2016 18:45;3025;34.051941;-118.24353;3000;34.038609;-118.260857;6431;One Way;Walk-up;1685;97;33;615;371;519;False;False;0;0
23183172;720;26/03/2017 14:20;26/03/2017 14:32;3019;34.064281;-118.238937;3069;0;0;6088;One Way;Walk-up;2771;58;33;881;358;902;True;True;22728;0
18209835;1860;19/01/2017 17:04;19/01/2017 17:35;3056;34.041691;-118.235352;3000;34.035801;-118.23317;6101;One Way;Monthly Pass;133;92;28;819;297;727;False;False;0;30
20898308;600;27/02/2017 15:34;27/02/2017 15:44;3027;34.046822;-118.248352;3042;34.050911;-118.240967;6140;One Way;Walk-up;28;98;29;651;436;642;True;False;0;0
17249852;480;04/01/2017 12:09;04/01/2017 12:17;3037;34.03286;-118.268082;3022;0;0;6153;One Way;Walk-up;1519;33;8;1043;319;502;False;False;23076;0
18781749;5340;28/01/2017 14:49;28/01/2017 16:18;3023;34.038609;-118.260857;3069;34.05088;-118.248253;6193;One Way;Walk-up;121;54;88;769;495;865;False;True;0;0
22783727;300;21/03/2017 18:03;21/03/2017 18:08;3030;34.03746;-118.265381;3082;0;0;6427;One Way;Walk-up;2317;59;36;1168;44;536;True;True;0;
17945755;660;15/01/2017 11:41;15/01/2017 11:52;3038;34.04998;-118.247162;3022;34.049301;-118.238808;6016;One Way;Walk-up;1406;44;64;736;379;632;True;True;0;0
20712270;360;25/02/2017 3:51;25/02/2017 3:57;3005;34.034801;-118.231277;3055;34.04607;-118.233093;6103;One Way;Walk-up;238;39;81;656;23;815;True;False;0;0
17434631;2280;07/01/2017 13:53;07/01/2017 14:31;3078;34.050911;-118.240967;3007;34.05088;-118.248253;6168;One Way;Walk-up;2581;23;6;889;419;558;False;False;0;0
22098150;7380;14/03/2017 7:37;14/03/2017 9:40;3064;34.051941;-118.24353;3000;34.04652;-118.237411;6353;One Way;Monthly Pass;2617;36;80;989;294;92;True;False;0;0
23006241;70260;23/03/2017 17:27;24/03/2017 12:58;3007;34.046822;-118.248352;3000;34.04607;-118.233093;6246;One Way;Monthly Pass;2998;60;97;1448;408;902;False;True;0;0
22202991;600;15/03/2017 12:27;15/03/2017 12:37;3038;34.04855;-118.259048;3022;34.044159;-118.251579;5866;One Way;Monthly Pass;1453;65;42;1336;261;675;False;True;0;0
18299262;480;21/01/2017 1:39;21/01/2017 1:47;3016;34.064281;-118.238937;3066;34.05048;-118.254593;6158;One Way;Monthly Pass;1876;85;15;1021;471;731;True;True;0;0
23087082;480;25/03/2017 11:20;25/03/2017 11:28;3049;34.04681;-118.256981;3008;0;0;5761;One Way;Walk-up;1513;34;71;975;34;966;True;False;0;
22498322;900;18/03/2017 14:49;18/03/2017 15:04;3018;34.05048;-118.254593;3082;0;0;6567;One Way;Walk-up;2561;89;66;1352;319;549;True;True;0;30
18073570;1440;17/01/2017 14:36;17/01/2017 15:00;3049;34.046822;-118.248352;3074;34.04607;-118.233093;6307;One Way;Walk-up;2779;15;84;98;436;75;False;True;0;30
18010295;360;16/01/2017 12:56;16/01/2017 13:02;3063;34.052898;-118.241562;3074;34.063389;-118.23616;5855;One Way;Monthly Pass;27;27;37;1335;29;598;False;True;0;30
19181786;480;02/02/2017 18:10;02/02/2017 18:18;3022;34.056969;-118.253593;3037;34.046612;-118.262733;5834;One Way;Walk-up;208;51;55;1404;295;96;False;True;0;0
19639984;16080;08/02/2017 15:27;08/02/2017 19:55;3067;34.043732;-118.260139;3000;34.04652;-118.237411;6098;One Way;Monthly Pass;519;48;82;998;427;909;True;False;0;0
21617020;10920;08/03/2017 17:19;08/03/2017 20:21;3028;34.056969;-118.253593;3000;34.04417;-118.261169;6516;One Way;Walk-up;1894;75;15;906;244;998;False;True;0;0
23639612;420;31/03/2017 17:53;31/03/2017 18:00;3068;34.049198;-118.252831;3082;34.04417;-118.261169;6120;One Way;Flex Pass;186;15;85;1383;452;953;True;True;0;30
19100907;840;01/02/2017 18:47;01/02/2017 19:01;3027;34.04607;-118.233093;3034;34.034801;-118.231277;6649;One Way;Monthly Pass;2112;45;98;739;426;674;True;True;0;0
21602238;7200;08/03/2017 13:11;08/03/2017 15:11;3038;34.045181;-118.250237;3082;0;0;6020;One Way;Walk-up;1616;88;50;614;186;569;True;False;0;30
19690056;1320;09/02/2017 14:45;09/02/2017 15:07;3005;34.058319;-118.246094;3063;0;0;6644;One Way;Walk-up;1143;96;29;699;348;567;True;True;0;0
20145267;11400;16/02/2017 7:50;16/02/2017 11:00;3034;34.0532;-118.250954;3000;34.04652;-118.237411;5756;One Way;Monthly Pass;2651;77;85;1018;324;735;False;False;0;365
18012897;10980;16/01/2017 11:39;16/01/2017 14:42;3065;34.04998;-118.247162;3000;34.042061;-118.263382;5873;One Way;Walk-up;335;65;80;135;42;787;False;False;0;30
22494577;53340;17/03/2017 23:27;18/03/2017 14:16;3063;34.046822;-118.248352;3000;34.04652;-118.237411;6521;One Way;Walk-up;258;78;37;1403;438;58;True;False;0;0
17242897;5280;04/01/2017 8:07;04/01/2017 9:35;3042;34.04855;-118.259048;3063;34.049198;-118.252831;6496;One Way;Monthly Pass;1919;83;12;917;419;781;True;False;0;0
10990870;12060;22/10/2016 11:45;22/10/2016 15:06;3032;34.042061;-118.263382;3000;0;0;6461;One Way;Flex Pass;2572;59;69;92;36;60;False;True;0;
21348919;1200;05/03/2017 11:46;05/03/2017 12:06;3011;34.060558;-118.238327;3063;0;0;5940;One Way;Walk-up;81;85;32;1205;245;522;True;True;0;0
19006181;120;31/01/2017 16:35;31/01/2017 16:37;3056;34.049198;-118.252831;3047;0;0;6247;One Way;Monthly Pass;507;42;49;867;469;607;True;False;0;0
23169089;4260;26/03/2017 9:04;26/03/2017 10:15;3039;34.049301;-118.238808;3009;34.049198;-118.252831;6166;One Way;Walk-up;283;79;15;616;287;772;True;True;0;30
19942311;240;13/02/2017 16:03;13/02/2017 16:07;3035;34.049889;-118.255882;3034;0;0;6616;One Way;Monthly Pass;846;58;22;657;476;555;False;False;23078;365
21889466;1200;12/03/2017 0:43;12/03/2017 1:03;3076;34.04113;-118.267982;3029;34.049198;-118.252831;6385;One Way;Walk-up;1978;61;49;627;66;608;False;True;0;0
19013095;2100;31/01/2017 18:12;31/01/2017 18:47;3055;34.03746;-118.265381;3000;34.039982;-118.266403;6288;One Way;Monthly Pass;1746;36;89;934;427;999;True;False;0;30
21937873;1560;12/03/2017 14:37;12/03/2017 15:03;3006;34.024479;-118.393867;3000;33.987381;-118.472832;6298;One Way;Walk-up;233;56;76;115;63;865;True;True;0;0
18853818;2280;29/01/2017 16:37;29/01/2017 17:15;3036;34.048401;-118.260948;3036;34.042061;-118.263382;6163;Round Trip;Walk-up;1978;86;83;1213;299;958;False;True;0;30
22510364;600;18/03/2017 18:12;18/03/2017 18:22;3023;34.0406;-118.253838;3031;34.048851;-118.246422;6446;One Way;Monthly Pass;905;26;25;1438;228;748;True;False;0;0
23274018;1260;27/03/2017 15:25;27/03/2017 15:46;3006;34.044159;-118.251579;3069;0;0;6290;One Way;Walk-up;546;95;87;729;195;945;False;True;0;30
18332441;840;21/01/2017 14:08;21/01/2017 14:22;3029;34.04554;-118.256668;3048;0;0;6284;One Way;Walk-up;798;31;40;1164;112;786;True;False;0;0
21930226;960;12/03/2017 12:59;12/03/2017 13:15;3038;34.039188;-118.232529;3034;34.039188;-118.232529;6389;One Way;Walk-up;1351;26;43;1117;197;822;False;True;0;0
22396707;3300;17/03/2017 12:52;17/03/2017 13:47;3034;34.050911;-118.240967;3034;34.044701;-118.252441;6260;Round Trip;Walk-up;2793;97;68;647;324;557;True;True;0;30
19837292;420;11/02/2017 22:56;11/02/2017 23:03;3005;34.04554;-118.256668;3063;34.05088;-118.248253;6374;One Way;Walk-up;1638;75;93;881;344;981;True;True;0;0
20507980;660;21/02/2017 17:08;21/02/2017 17:19;3076;34.048851;-118.246422;3014;34.041691;-118.235352;5859;One Way;Monthly Pass;2214;16;79;1212;37;688;True;False;0;0
22290387;1200;16/03/2017 9:50;16/03/2017 10:10;3032;34.046822;-118.248352;3030;34.042061;-118.263382;6107;One Way;Flex Pass;2371;62;90;1385;38;59;False;True;0;0
22923528;480;23/03/2017 11:47;23/03/2017 11:55;3042;34.042061;-118.263382;3027;34.042061;-118.263382;6525;One Way;Monthly Pass;57;15;10;1465;67;836;True;True;0;0
18789632;1440;28/01/2017 18:57;28/01/2017 19:21;3046;34.04855;-118.259048;3055;34.049198;-118.252831;6080;One Way;Walk-up;1555;35;46;1171;208;796;True;False;0;0
21796017;1260;11/03/2017 0:17;11/03/2017 0:38;3048;34.0406;-118.253838;3048;34.05661;-118.237213;6297;Round Trip;Walk-up;1135;29;38;1201;428;865;True;True;0;30
18767223;840;28/01/2017 10:03;28/01/2017 10:17;3075;34.049889;-118.255882;3075;34.051941;-118.24353;6188;Round Trip;Walk-up;1192;28;18;1285;132;712;True;False;0;365
18209917;9000;19/01/2017 15:06;19/01/2017 17:36;3014;34.049301;-118.238808;3000;34.04998;-118.247162;5924;One Way;Monthly Pass;2809;15;54;788;377;738;False;True;0;30
17708234;1860;11/01/2017 15:39;11/01/2017 16:10;3008;34.05302;-118.247948;3068;34.044159;-118.251579;5914;One Way;Walk-up;2071;84;59;1233;129;876;False;False;0;0
20449945;23700;20/02/2017 10:30;20/02/2017 17:05;3030;34.041691;-118.235352;3000;34.041691;-118.235352;5715;One Way;Walk-up;2031;10;52;873;65;595;False;True;0;0
21289774;240;04/03/2017 18:49;04/03/2017 18:53;3031;34.041691;-118.235352;3064;0;0;6480;One Way;Monthly Pass;118;65;52;1311;491;765;False;True;23074;30
20911624;720;27/02/2017 19:32;27/02/2017 19:44;3031;34.04211;-118.256187;3026;34.04211;-118.256187;6462;One Way;Walk-up;863;24;15;1448;326;545;False;False;0;0
19013086;480;31/01/2017 18:19;31/01/2017 18:27;3082;34.05661;-118.237213;3000;0;0;6441;One Way;Walk-up;2941;26;26;114;251;988;False;False;0;
18363642;120;22/01/2017 0:31;22/01/2017 0:33;3006;34.046612;-118.262733;3031;34.0532;-118.250954;5933;One Way;Monthly Pass;2035;68;59;1342;279;833;True;True;0;0
19873472;1320;12/02/2017 14:03;12/02/2017 14:25;3078;34.051941;-118.24353;3062;0;0;6166;One Way;Walk-up;1468;37;37;1336;466;891;False;False;0;0
18958449;1740;31/01/2017 1:26;31/01/2017 1:55;3065;34.044701;-118.252441;3030;34.04681;-118.256981;6285;One Way;Monthly Pass;2177;95;64;544;167;96;True;True;0;30
21681117;2580;09/03/2017 15:22;09/03/2017 16:05;3011;34.044701;-118.252441;3063;34.063179;-118.24588;6278;One Way;Walk-up;769;60;28;1409;144;979;False;True;0;0
22314602;720;16/03/2017 15:55;16/03/2017 16:07;3032;34.04652;-118.237411;3056;0;0;5860;One Way;Walk-up;188;62;46;637;175;881;False;True;0;0
23519941;300;30/03/2017 8:51;30/03/2017 8:56;3069;34.04554;-118.256668;3075;34.044701;-118.252441;5973;One Way;Monthly Pass;146;38;95;901;298;762;False;False;0;30
18338464;1500;21/01/2017 15:42;21/01/2017 16:07;3031;34.064281;-118.238937;3036;34.047749;-118.243172;5957;One Way;Walk-up;736;56;54;1454;33;616;False;False;0;0
19505792;660;06/02/2017 16:51;06/02/2017 17:02;3007;34.060558;-118.238327;3000;34.051941;-118.24353;6244;One Way;Monthly Pass;2571;33;97;1046;238;544;False;True;0;30
17766376;480;12/01/2017 12:55;12/01/2017 13:03;3082;34.04113;-118.267982;3069;34.049198;-118.252831;5977;One Way;Monthly Pass;511;43;33;658;299;954;True;False;0;0
14792947;23100;30/11/2016 14:47;30/11/2016 21:12;3048;34.049889;-118.255882;3000;34.03746;-118.265381;5817;One Way;Monthly Pass;2281;64;52;109;463;946;True;False;0;0
21527196;600;07/03/2017 17:17;07/03/2017 17:27;3025;34.05088;-118.248253;3074;34.04211;-118.256187;6277;One Way;Walk-up;2316;69;18;882;474;716;False;True;0;30
20879191;300;27/02/2017 9:21;27/02/2017 9:26;3035;34.044701;-118.252441;3018;34.039188;-118.232529;6653;One Way;Monthly Pass;87;38;13;1233;154;967;False;False;0;0
23359841;240;28/03/2017 14:49;28/03/2017 14:53;3031;34.05048;-118.254593;3075;0;0;5731;One Way;Monthly Pass;1145;69;14;923;20;671;False;False;0;30
19255885;720;03/02/2017 13:59;03/02/2017 14:11;3068;34.04652;-118.237411;3048;34.05088;-118.248253;6403;One Way;Monthly Pass;2524;88;55;1258;485;625;False;True;0;30
17995950;28560;15/01/2017 23:36;16/01/2017 7:32;3055;34.041691;-118.235352;3000;0;0;5998;One Way;Monthly Pass;879;31;34;1473;188;568;True;True;23074;30
17825407;780;13/01/2017 11:54;13/01/2017 12:07;3014;34.03286;-118.268082;3058;34.04417;-118.261169;6082;One Way;Walk-up;1353;47;67;856;88;534;True;True;0;0
21934003;780;12/03/2017 14:44;12/03/2017 14:57;3000;34.048401;-118.260948;3064;34.043732;-118.260139;6466;One Way;Monthly Pass;2439;35;16;126;298;804;True;False;0;30
18853796;1140;29/01/2017 17:05;29/01/2017 17:24;3066;34.044701;-118.252441;3081;34.04211;-118.256187;6185;One Way;Walk-up;11;21;91;641;258;702;True;False;0;30
17174480;480;03/01/2017 0:34;03/01/2017 0:42;3037;34.0532;-118.250954;3055;34.041691;-118.235352;6262;One Way;Monthly Pass;2914;27;48;507;259;971;False;False;0;30
23194465;2400;26/03/2017 17:05;26/03/2017 17:45;3077;34.044159;-118.251579;3051;0;0;6427;One Way;Walk-up;65;16;33;572;439;796;True;False;0;30
18631105;6060;26/01/2017 4:48;26/01/2017 6:29;3047;34.05661;-118.237213;3000;34.035801;-118.23317;6478;One Way;Monthly Pass;738;66;14;912;282;852;True;False;0;0
21616891;1260;08/03/2017 20:12;08/03/2017 20:33;3049;0;0;3082;34.04681;-118.256981;6494;One Way;Walk-up;2241;89;11;984;198;804;False;False;0;30
18324184;1080;21/01/2017 11:26;21/01/2017 11:44;3031;34.063389;-118.23616;3022;34.031891;-118.250183;5785;One Way;Walk-up;546;52;6;1441;272;687;False;True;0;0
20507975;1140;21/02/2017 17:18;21/02/2017 17:37;3022;34.034801;-118.231277;3031;34.044159;-118.251579;5838;One Way;Walk-up;1514;29;92;635;312;702;True;True;0;30
17216402;1260;03/01/2017 18:21;03/01/2017 18:42;3033;34.039871;-118.250038;3048;34.045422;-118.253517;6436;One Way;Walk-up;1455;81;78;763;307;871;True;True;0;0
20013191;180;14/02/2017 16:13;14/02/2017 16:16;3005;34.039982;-118.266403;3008;0;0;5909;One Way;Walk-up;861;56;41;987;44;605;True;True;0;30
21366079;79740;04/03/2017 19:39;05/03/2017 17:48;3064;34.056969;-118.253593;3000;34.04652;-118.237411;6104;One Way;Walk-up;1032;57;63;1295;435;951;False;True;0;0
17566290;660;09/01/2017 13:02;09/01/2017 13:13;3064;34.044701;-118.252441;3047;34.04607;-118.233093;6398;One Way;Monthly Pass;542;30;40;1075;229;619;True;True;0;0
20908264;420;27/02/2017 17:55;27/02/2017 18:02;3068;34.04607;-118.233093;3042;34.044701;-118.252441;6081;One Way;Monthly Pass;2966;83;67;144;171;869;True;True;0;0
18721104;660;27/01/2017 16:30;27/01/2017 16:41;3007;34.040989;-118.255798;3032;34.041691;-118.235352;6118;One Way;Walk-up;2754;57;36;1269;188;643;True;True;0;0
23183212;4140;26/03/2017 13:08;26/03/2017 14:17;3009;34.04855;-118.259048;3039;34.046612;-118.262733;5923;One Way;Walk-up;1324;83;65;1291;123;71;True;False;0;0
20669954;1680;24/02/2017 11:38;24/02/2017 12:06;3082;34.04681;-118.256981;3082;0;0;5826;Round Trip;Walk-up;1887;34;28;1342;173;856;False;True;0;0
18187061;360;19/01/2017 9:48;19/01/2017 9:54;3034;34.04681;-118.256981;3005;34.039982;-118.266403;6008;One Way;Monthly Pass;109;61;92;509;344;772;False;False;0;30
21119679;600;02/03/2017 13:34;02/03/2017 13:44;3052;34.0532;-118.250954;3055;34.049301;-118.238808;5975;One Way;Walk-up;955;60;73;1283;324;598;False;True;0;30
19687363;840;09/02/2017 14:36;09/02/2017 14:50;3037;34.05048;-118.254593;3055;34.049889;-118.255882;6529;One Way;Walk-up;1301;36;73;1163;412;566;True;False;0;0
23652454;11460;31/03/2017 18:20;31/03/2017 21:31;3082;33.987381;-118.472832;3000;34.024479;-118.393867;5958;One Way;Walk-up;1719;94;69;824;88;983;False;False;0;0
18774264;780;28/01/2017 13:23;28/01/2017 13:36;3022;34.04652;-118.237411;3082;34.04652;-118.237411;6685;One Way;Walk-up;908;88;61;115;461;987;True;True;0;0
18924375;840;30/01/2017 15:18;30/01/2017 15:32;3074;34.042061;-118.263382;3062;34.04855;-118.259048;6293;One Way;Monthly Pass;109;26;44;1093;41;646;False;True;0;30
22531074;360;18/03/2017 23:50;18/03/2017 23:56;3006;34.051102;-118.264557;3031;34.044159;-118.251579;5731;One Way;Walk-up;146;21;84;1302;465;786;False;False;0;0
18826651;1200;29/01/2017 7:40;29/01/2017 8:00;3005;34.034801;-118.231277;3036;34.044159;-118.251579;6616;One Way;Flex Pass;1059;20;72;1333;291;581;True;False;0;0
17096051;1440;01/01/2017 16:15;01/01/2017 16:39;3063;34.04652;-118.237411;3063;0;0;5817;Round Trip;Walk-up;1288;31;74;1004;162;662;False;True;0;0
23285782;35700;27/03/2017 8:22;27/03/2017 18:17;3031;34.04607;-118.233093;3000;34.04652;-118.237411;5809;One Way;Monthly Pass;159;23;62;767;34;725;False;True;0;0
23263231;67560;26/03/2017 17:41;27/03/2017 12:27;3074;34.04417;-118.261169;3000;34.047749;-118.243172;6005;One Way;Walk-up;1488;88;51;526;74;567;True;True;0;30
22910298;3720;23/03/2017 6:14;23/03/2017 7:16;3051;34.04554;-118.256668;3000;34.044701;-118.252441;5764;One Way;Monthly Pass;1287;54;99;779;95;884;False;True;0;0
18726976;780;27/01/2017 17:53;27/01/2017 18:06;3067;34.04855;-118.259048;3038;34.039188;-118.232529;5845;One Way;Monthly Pass;1584;14;50;786;426;581;True;True;0;365
19108820;1560;01/02/2017 20:48;01/02/2017 21:14;3037;34.049198;-118.252831;3051;34.049198;-118.252831;6434;One Way;Walk-up;409;25;97;148;236;553;True;True;0;0
17359784;11820;06/01/2017 6:47;06/01/2017 10:04;3051;34.044701;-118.252441;3000;0;0;6423;One Way;Monthly Pass;251;60;37;1364;449;516;True;False;0;30
20541356;46080;21/02/2017 19:39;22/02/2017 8:27;3034;34.04417;-118.261169;3000;0;0;5830;One Way;Monthly Pass;2605;27;81;1075;321;893;True;False;0;0
17270238;240;04/01/2017 20:47;04/01/2017 20:51;3031;34.045422;-118.253517;3005;0;0;5908;One Way;Monthly Pass;1512;46;57;1474;491;758;False;True;0;
19634350;600;08/02/2017 17:03;08/02/2017 17:13;3058;34.045181;-118.250237;3079;34.046822;-118.248352;6511;One Way;Monthly Pass;2251;11;47;995;6;91;False;False;0;30
22545888;360;19/03/2017 3:14;19/03/2017 3:20;3005;34.034801;-118.231277;3031;34.045422;-118.253517;5719;One Way;Monthly Pass;269;62;98;553;173;733;True;True;0;0
17575143;10920;09/01/2017 13:51;09/01/2017 16:53;3038;34.045422;-118.253517;3000;0;0;6033;One Way;Walk-up;1121;97;29;1146;228;564;False;False;0;30
19892101;11100;12/02/2017 18:48;12/02/2017 21:53;3082;34.042061;-118.263382;3000;0;0;6120;One Way;Walk-up;2703;23;35;1148;69;713;True;False;0;30
21788482;420;10/03/2017 22:04;10/03/2017 22:11;3024;34.044701;-118.252441;3065;34.04855;-118.259048;6300;One Way;Walk-up;187;50;80;1296;292;731;True;False;0;30
22847260;1200;22/03/2017 12:51;22/03/2017 13:11;3036;34.035801;-118.23317;3022;34.05014;-118.233238;6516;One Way;Walk-up;1846;44;32;534;85;881;False;True;0;30
18025908;780;16/01/2017 19:15;16/01/2017 19:28;3014;34.04855;-118.259048;3037;34.044701;-118.252441;6024;One Way;Flex Pass;170;40;99;1289;79;701;True;False;0;30
18784273;600;28/01/2017 16:53;28/01/2017 17:03;3069;34.046822;-118.248352;3075;0;0;5939;One Way;Walk-up;2266;51;28;621;92;782;False;True;0;0
18160516;1380;18/01/2017 22:46;18/01/2017 23:09;3018;34.04652;-118.237411;3051;0;0;6685;One Way;Walk-up;982;14;86;549;59;564;False;True;0;0
19945231;480;13/02/2017 17:23;13/02/2017 17:31;3022;34.05772;-118.24897;3027;34.060558;-118.238327;6575;One Way;Monthly Pass;2665;97;87;1427;444;743;False;False;0;0
